State,Date,New Cases
New York,Feb 11 2022,3244
New York,Feb 10 2022,4188
New York,Feb  9 2022,4034
New York,Feb  8 2022,2639
New York,Feb  7 2022,2390
New York,Feb  6 2022,3506
New York,Feb  5 2022,4668
New York,Feb  4 2022,5127
New York,Feb  3 2022,6346
New York,Feb  2 2022,6076
New York,Feb  1 2022,4480
New York,Jan 31 2022,3670
New York,Jan 30 2022,5731
New York,Jan 29 2022,7932
New York,Jan 28 2022,8558
New York,Jan 27 2022,10913
New York,Jan 26 2022,10134
New York,Jan 25 2022,8067
New York,Jan 24 2022,7227
New York,Jan 23 2022,10625
New York,Jan 22 2022,14221
New York,Jan 21 2022,16021
New York,Jan 20 2022,17157
New York,Jan 19 2022,12074
New York,Jan 18 2022,11424
New York,Jan 17 2022,12961
New York,Jan 16 2022,22716
New York,Jan 15 2022,24816
New York,Jan 14 2022,27587
New York,Jan 13 2022,28844
New York,Jan 12 2022,27587
New York,Jan 11 2022,20778
New York,Jan 10 2022,22513
New York,Jan  9 2022,37136
New York,Jan  8 2022,42541
New York,Jan  7 2022,37816
New York,Jan  6 2022,38044
New York,Jan  5 2022,35182
New York,Jan  4 2022,22422
New York,Jan  3 2022,22452
New York,Jan  2 2022,26876
New York,Jan  1 2022,35752
New York,Dec 31 2021,33420
New York,Dec 30 2021,30222
New York,Dec 29 2021,27499
New York,Dec 28 2021,13006
New York,Dec 27 2021,8369
New York,Dec 26 2021,31334
New York,Dec 25 2021,0
New York,Dec 24 2021,17378
New York,Dec 23 2021,16027
New York,Dec 22 2021,11703
New York,Dec 21 2021,8498
New York,Dec 20 2021,8146
New York,Dec 19 2021,10074
New York,Dec 18 2021,10319
New York,Dec 17 2021,10741
New York,Dec 16 2021,9958
New York,Dec 15 2021,7860
New York,Dec 14 2021,5142
New York,Dec 13 2021,5169
New York,Dec 12 2021,7284
New York,Dec 11 2021,7872
New York,Dec 10 2021,8092
New York,Dec  9 2021,8238
New York,Dec  8 2021,7243
New York,Dec  7 2021,6051
New York,Dec  6 2021,4557
New York,Dec  5 2021,7830
New York,Dec  4 2021,7642
New York,Dec  3 2021,8853
New York,Dec  2 2021,8936
New York,Dec  1 2021,7637
New York,Nov 30 2021,5170
New York,Nov 29 2021,3994
New York,Nov 28 2021,4506
New York,Nov 27 2021,3247
New York,Nov 26 2021,4937
New York,Nov 25 2021,6762
New York,Nov 24 2021,5697
New York,Nov 23 2021,4130
New York,Nov 22 2021,4094
New York,Nov 21 2021,5492
New York,Nov 20 2021,5556
New York,Nov 19 2021,6017
New York,Nov 18 2021,6517
New York,Nov 17 2021,4924
New York,Nov 16 2021,3959
New York,Nov 15 2021,3525
New York,Nov 14 2021,4196
New York,Nov 13 2021,5095
New York,Nov 12 2021,5009
New York,Nov 11 2021,5301
New York,Nov 10 2021,4164
New York,Nov  9 2021,3258
New York,Nov  8 2021,2694
New York,Nov  7 2021,3715
New York,Nov  6 2021,3851
New York,Nov  5 2021,3882
New York,Nov  4 2021,3657
New York,Nov  3 2021,3230
New York,Nov  2 2021,2295
New York,Nov  1 2021,2179
New York,Oct 31 2021,2794
New York,Oct 30 2021,3143
New York,Oct 29 2021,4188
New York,Oct 28 2021,3199
New York,Oct 27 2021,3500
New York,Oct 26 2021,1641
New York,Oct 25 2021,2355
New York,Oct 24 2021,2152
New York,Oct 23 2021,3464
New York,Oct 22 2021,2735
