submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
07/28/2021,OR,217690,217690,0,815,0,2849,2849,0,6,0,07/29/2021 01:49:46 PM,Agree,Agree
01/15/2021,OR,131258,129538,1720,1012,0,1758,1743,15,21,0,01/16/2021 02:46:10 PM,Agree,Agree
09/11/2021,OR,298384,298384,0,1559,0,3424,3424,0,10,0,09/13/2021 12:52:39 PM,Agree,Agree
11/06/2021,OR,372137,372137,0,0,0,4562,4562,0,0,0,11/08/2021 01:55:23 PM,Agree,Agree
04/03/2021,OR,166480,166480,0,467,0,2391,2391,0,6,0,04/04/2021 01:43:43 PM,Agree,Agree
05/21/2021,OR,197851,197851,0,495,0,2613,2613,0,7,0,05/22/2021 06:59:37 PM,Agree,Agree
01/06/2021,OR,120223,118503,1720,735,0,1558,1543,15,8,0,01/07/2021 02:56:59 PM,Agree,Agree
01/05/2021,OR,119488,117768,1720,1035,0,1550,1535,15,44,0,01/06/2021 02:58:26 PM,Agree,Agree
02/11/2021,OR,149082,147362,1720,607,0,2056,2041,15,12,0,02/12/2021 02:56:38 PM,Agree,Agree
10/17/2021,OR,350938,350938,0,1086,0,4177,4177,0,8,0,10/18/2021 01:49:53 PM,Agree,Agree
07/12/2021,OR,210729,210729,0,168,0,2797,2797,0,3,0,07/13/2021 02:26:25 PM,Agree,Agree
10/08/2021,OR,341113,341113,0,1557,0,3982,3982,0,23,0,10/09/2021 01:32:02 PM,Agree,Agree
05/30/2021,OR,201260,201260,0,256,0,2668,2668,0,2,0,05/31/2021 01:43:43 PM,Agree,Agree
06/27/2021,OR,208136,208136,0,138,0,2763,2763,0,0,0,06/28/2021 03:02:46 PM,Agree,Agree
02/18/2021,OR,151713,149993,1720,456,0,2149,2134,15,6,0,02/19/2021 03:33:51 PM,Agree,Agree
04/15/2021,OR,172931,172931,0,725,0,2455,2455,0,6,0,04/16/2021 02:12:25 PM,Agree,Agree
06/16/2021,OR,205698,205698,0,239,0,2744,2744,0,7,0,06/17/2021 02:38:09 PM,Agree,Agree
02/27/2021,OR,155315,153595,1720,437,0,2208,2193,15,2,0,02/28/2021 02:48:18 PM,Agree,Agree
10/15/2021,OR,348766,348766,0,1150,0,4161,4161,0,20,0,10/16/2021 01:26:43 PM,Agree,Agree
02/19/2021,OR,152190,150470,1720,477,0,2149,2134,15,0,0,02/20/2021 02:45:37 PM,Agree,Agree
01/24/2021,OR,138168,136448,1720,568,0,1880,1865,15,3,0,01/25/2021 02:42:40 PM,Agree,Agree
09/23/2021,OR,318915,318915,0,1808,0,3661,3661,0,12,0,09/24/2021 01:56:18 PM,Agree,Agree
08/20/2021,OR,252977,252977,0,2142,0,3012,3012,0,18,0,08/21/2021 01:25:01 PM,Agree,Agree
06/10/2021,OR,204291,204291,0,358,0,2726,2726,0,10,0,06/11/2021 02:20:54 PM,Agree,Agree
10/11/2021,OR,343993,343993,0,960,0,4002,4002,0,8,0,10/12/2021 02:00:10 PM,Agree,Agree
03/15/2021,OR,159788,159788,0,171,0,2324,2324,0,2,0,03/16/2021 02:12:32 PM,Agree,Agree
07/22/2021,OR,214263,214263,0,533,0,2834,2834,0,1,0,07/23/2021 01:48:31 PM,Agree,Agree
02/13/2021,OR,150034,148314,1720,458,0,2137,2122,15,43,0,02/14/2021 02:51:00 PM,Agree,Agree
05/24/2021,OR,198972,198972,0,283,0,2624,2624,0,2,0,05/25/2021 02:17:06 PM,Agree,Agree
08/25/2021,OR,263164,263164,0,2739,0,3086,3086,0,20,0,08/26/2021 02:58:37 PM,Agree,Agree
01/21/2021,OR,135973,134253,1720,831,0,1843,1828,15,11,0,01/22/2021 02:51:49 PM,Agree,Agree
03/03/2021,OR,156287,154567,1720,250,0,2252,2237,15,27,0,03/04/2021 03:08:33 PM,Agree,Agree
09/15/2021,OR,305560,305560,0,2028,0,3536,3536,0,46,0,09/16/2021 02:24:46 PM,Agree,Agree
08/26/2021,OR,265210,265210,0,2046,0,3095,3095,0,9,0,08/27/2021 02:08:03 PM,Agree,Agree
06/05/2021,OR,202995,202995,0,320,0,2691,2691,0,5,0,06/06/2021 01:36:52 PM,Agree,Agree
07/26/2021,OR,215853,215853,0,328,0,2838,2838,0,2,0,07/27/2021 02:48:23 PM,Agree,Agree
03/19/2021,OR,160994,160994,0,372,0,2357,2357,0,4,0,03/20/2021 02:03:21 PM,Agree,Agree
04/10/2021,OR,170085,170085,0,747,0,2440,2440,0,0,0,04/11/2021 01:50:11 PM,Agree,Agree
06/21/2021,OR,206850,206850,0,76,0,2756,2756,0,2,0,06/22/2021 02:36:11 PM,Agree,Agree
09/14/2021,OR,303532,303532,0,2028,0,3490,3490,0,44,0,09/15/2021 02:35:57 PM,Agree,Agree
01/27/2021,OR,140063,138343,1720,708,0,1924,1909,15,20,0,01/28/2021 02:49:07 PM,Agree,Agree
11/03/2021,OR,369815,369815,0,1121,0,4469,4469,0,64,0,11/04/2021 03:01:34 PM,Agree,Agree
03/17/2021,OR,160286,160286,0,236,0,2349,2349,0,3,0,03/18/2021 02:01:55 PM,Agree,Agree
01/07/2021,OR,121085,119365,1720,862,0,1568,1553,15,10,0,01/08/2021 03:56:01 PM,Agree,Agree
11/23/2021,OR,386634,386634,0,844,0,5066,5066,0,49,0,11/24/2021 03:13:47 PM,Agree,Agree
08/31/2021,OR,276287,276287,0,2391,0,3198,3198,0,43,0,09/01/2021 02:27:14 PM,Agree,Agree
07/08/2021,OR,209973,209973,0,209,0,2790,2790,0,2,0,07/09/2021 01:56:56 PM,Agree,Agree
03/18/2021,OR,160622,160622,0,336,0,2353,2353,0,4,0,03/19/2021 02:25:43 PM,Agree,Agree
06/15/2021,OR,205459,205459,0,305,0,2737,2737,0,7,0,06/16/2021 03:10:20 PM,Agree,Agree
07/19/2021,OR,212755,212755,0,253,0,2826,2826,0,3,0,07/20/2021 02:48:47 PM,Agree,Agree
10/23/2021,OR,357526,357526,0,0,0,4284,4284,0,0,0,10/25/2021 03:25:56 PM,Agree,Agree
05/03/2021,OR,186877,186877,0,533,0,2502,2502,0,1,0,05/04/2021 02:00:10 PM,Agree,Agree
10/24/2021,OR,357526,357526,0,0,0,4284,4284,0,0,0,10/25/2021 05:00:46 PM,Agree,Agree
09/01/2021,OR,279087,279087,0,2800,0,3221,3221,0,23,0,09/02/2021 01:49:05 PM,Agree,Agree
04/14/2021,OR,172206,172206,0,808,0,2449,2449,0,3,0,04/15/2021 01:58:27 PM,Agree,Agree
07/27/2021,OR,216875,216875,0,1022,0,2843,2843,0,5,0,07/28/2021 01:51:39 PM,Agree,Agree
11/02/2021,OR,368694,368694,0,1084,0,4405,4405,0,28,0,11/03/2021 01:51:46 PM,Agree,Agree
07/10/2021,OR,210395,210395,0,166,0,2793,2793,0,1,0,07/12/2021 01:16:46 PM,Agree,Agree
